Tanggal,suhu,kelembapan,curah hujan,kecepatan angin harian
2020-02-29,27.7,86,0.1,3
2020-03-01,28.6,82,0,3
2020-03-02,28.3,85,0,3
2020-03-03,28.1,88,0,3
2020-03-04,27.6,85,0,3
2020-03-05,27.6,90,0,3
2020-03-06,27.7,87,0,3
2020-03-07,26.6,90,0.7,2
2020-03-08,28.3,85,0,3
2020-03-09,27.7,88,0,3
2020-03-10,28.1,87,0,4
2020-03-11,28.1,87,8888,3
2020-03-12,28,85,0,3
2020-03-13,28.2,85,0,3
2020-03-14,29,82,0,2
2020-03-15,28.6,86,0,3
2020-03-16,29.6,78,0.7,3
2020-03-17,25.9,93,0,2
2020-03-18,27.1,87,12.1,4
2020-03-19,27.3,86,0,3
2020-03-20,27.5,83,0,4
2020-03-21,28.2,82,0,3
2020-03-22,28.3,84,0.8,3
2020-03-23,27.7,86,0.7,2
2020-03-24,27.7,82,20.8,2
2020-03-25,28.6,82,0,3
2020-03-26,28.2,84,0,3
2020-03-27,27.9,86,0,2
2020-03-28,28.3,85,0,2
2020-03-29,28.5,87,0,3
2020-03-30,28.7,84,0,2
2020-03-31,28.1,85,0.1,3
2020-04-01,28.6,85,0,2
2020-04-02,28.3,89,0,3
2020-04-03,27.5,92,0,2
2020-04-04,28.1,86,0.2,2
2020-04-05,27.5,89,8888,3
2020-04-06,26.6,87,8888,3
2020-04-07,27.8,85,0,3
2020-04-08,28.1,85,0,2
2020-04-09,27.9,88,0,2
2020-04-10,28.5,82,0,2
2020-04-11,28.5,86,0,3
2020-04-12,29.3,81,0,3
2020-04-13,27.7,87,0,3
2020-04-14,27.9,90,1.2,2
2020-04-15,28.6,84,0,2
2020-04-16,28.9,84,0,3
2020-04-17,27.5,88,0,3
2020-04-18,28.6,80,0,2
2020-04-19,28.4,86,0,2
2020-04-20,28.3,83,0,2
2020-04-21,28.8,84,0,2
2020-04-22,28.1,88,0,2
2020-04-23,25.9,96,0.6,1
2020-04-24,27.4,85,15.2,3
2020-04-25,28.3,82,0,3
2020-04-26,27.3,88,56.4,2
2020-04-27,27.7,87,0.4,3
2020-04-28,27.5,88,22.3,2
2020-04-29,27.4,86,2.7,3
2020-04-30,27.3,88,9.3,3
2020-05-01,27.6,86,8888,2
2020-05-02,27.5,82,8888,2
2020-05-03,27.7,90,0,2
2020-05-04,27.8,90,0,2
2020-05-05,29.1,85,0,3
2020-05-06,28,85,0,2
2020-05-07,28.4,86,0,3
2020-05-08,28.3,88,36,2
2020-05-09,27.9,92,0,2
2020-05-10,28.1,91,0,2
2020-05-11,29,88,11.2,3
2020-05-12,27.4,89,10,3
2020-05-13,28.1,89,66.5,3
2020-05-14,27.9,90,0,3
2020-05-15,28.8,88,2,5
2020-05-16,27.7,89,0,2
2020-05-17,26.8,96,0,2
2020-05-18,28.7,88,2,3
2020-05-19,29.5,90,0,2
2020-05-20,29,88,0.9,2
2020-05-21,28.7,88,1.9,2
2020-05-22,28.4,88,0.1,2
2020-05-23,27.8,90,0.6,2
2020-05-24,28.6,89,0,2
2020-05-25,27.8,90,0,2
2020-05-26,27.9,89,3.5,2
2020-05-27,28.3,88,1.5,2
2020-05-28,28.7,87,0,2
2020-05-29,27.3,88,36.2,2
2020-05-30,27.8,84,2.2,2
2020-05-31,27.1,96,0,2
2020-06-01,28.1,88,4.2,2
2020-06-02,27,90,0,2
2020-06-03,27.9,85,0,3
2020-06-04,27.2,90,42.1,2
2020-06-05,27.8,89,0,3
2020-06-06,27.1,89,0,2
2020-06-07,27.3,88,8888,2
2020-06-08,27.7,84,0,2
2020-06-09,28.4,89,0,3
2020-06-10,27.6,91,8.3,3
2020-06-11,26.6,88,2,2
2020-06-12,26.8,90,0,3
2020-06-13,28.1,81,0.8,3
2020-06-14,27.4,86,0,3
2020-06-15,27.8,89,11,2
2020-06-16,27.1,90,18,2
2020-06-17,28,85,8888,2
2020-06-18,26,88,40.1,1
2020-06-19,27.6,87,1.1,5
2020-06-20,28.2,84,0,6
2020-06-21,26.6,90,0,9
2020-06-22,26.6,85,0.5,5
2020-06-23,27.2,88,10.5,4
2020-06-24,28.3,77,0,10
2020-06-25,27.1,88,67,9
2020-06-26,26.8,86,6.1,5
2020-06-27,28.5,86,0,6
2020-06-28,27.7,89,0,5
2020-06-29,27.9,84,8888,5
2020-06-30,28.1,91,0,5
2020-07-01,26.7,88,0.2,5
2020-07-02,27.6,86,0,5
2020-07-03,27.1,87,0,6
2020-07-04,27.4,84,0,5
2020-07-05,27.8,86,0,5
2020-07-06,25.6,90,0,8
2020-07-07,25.9,86,75.8,6
2020-07-08,27,87,0,5
2020-07-09,27,88,8888,5
2020-07-10,27.9,86,0.8,7
2020-07-11,26.8,87,0,6
2020-07-12,26.7,88,1.8,7
2020-07-13,26.5,86,1.1,6
2020-07-14,27.3,86,0.2,6
2020-07-15,28,84,0,7
2020-07-16,27.6,87,0,6
2020-07-17,28,79,0,5
2020-07-18,27.1,90,1.5,5
2020-07-19,27.7,86,0,7
2020-07-20,26.6,91,0,4
2020-07-21,26.5,90,8888,5
2020-07-22,26.7,91,10.3,4
2020-07-23,26.3,83,3.4,5
2020-07-24,27,86,1,3
2020-07-25,27.2,90,2.3,5
2020-07-26,27.2,88,2,6
2020-07-27,26.2,93,2.6,6
2020-07-28,25.9,92,4,9
2020-07-29,26,87,47.2,13
2020-07-30,26.9,90,17.1,5
2020-07-31,27.2,87,34.1,5
2020-08-01,28.1,87,0,5
2020-08-02,27.7,87,0,4
2020-08-03,27.5,86,0,5
2020-08-04,27.4,83,0,5
2020-08-05,27.8,88,0,6
2020-08-06,28.4,88,0,7
2020-08-07,28.3,85,0,5
2020-08-08,28.2,89,0,5
2020-08-09,28.4,90,1,6
2020-08-10,28.1,84,0,5
2020-08-11,28,85,0.6,8
2020-08-12,25.3,94,11.1,5
2020-08-13,27.9,87,0,5
2020-08-14,27,87,8.6,5
2020-08-15,28.1,86,0,6
2020-08-16,28.4,85,0,5
2020-08-17,27.4,86,0,6
2020-08-18,27.6,84,0,7
2020-08-19,27,88,4,5
2020-08-20,27.4,86,0,6
2020-08-21,27.1,90,0,5
2020-08-22,26.9,90,0.2,5
2020-08-23,27.1,85,2.1,8
2020-08-24,27.2,85,3.5,7
2020-08-25,27.4,86,0,6
2020-08-26,28.4,84,0.1,7
2020-08-27,27.4,86,0,5
2020-08-28,26.6,84,0,4
2020-08-29,27.2,84,1.5,5
2020-08-30,26.6,88,0,3
2020-08-31,25.9,91,0.2,7
2020-09-01,27.6,84,30.2,6
2020-09-02,27.5,85,0,6
2020-09-03,27.8,83,0,5
2020-09-04,25.5,91,13,4
2020-09-05,27.6,86,9.5,6
2020-09-06,26,91,16.1,6
2020-09-07,27.1,86,2,5
2020-09-08,28.5,81,0,6
2020-09-09,26.6,90,13.2,3
2020-09-10,26.6,86,6.4,5
2020-09-11,26.7,86,7.5,5
2020-09-12,25.8,90,14.7,4
2020-09-13,26.4,85,10.2,5
2020-09-14,27.2,86,0.1,6
2020-09-15,0,0,0,0
2020-09-16,0,0,0,0
2020-09-17,0,0,0,0
2020-09-18,0,0,0,0
2020-09-19,0,0,0,0
2020-09-20,0,0,0,0
2020-09-21,0,0,0,0
2020-09-22,0,0,0,0
2020-09-23,0,0,0,0
2020-09-24,0,0,0,0
2020-09-25,0,0,0,0
2020-09-26,0,0,0,0
2020-09-27,0,0,0,0
2020-09-28,27.2,80,0,6
2020-09-29,26.6,89,17.4,6
2020-09-30,25.9,91,2.5,2
2020-10-01,25.6,94,8888,3
2020-10-02,27.3,90,1.7,6
2020-10-03,27,87,1,7
2020-10-04,27.2,82,8888,6
